9483	1720372	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	2	0	1	2	1	0	2	1	0	2	1	0	2	0	1	1	0	1	2	0	1	2	1	0	3	1	0	0	1	1	0	0	2	0	2	0	0	1	1	0	1	1	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	0	1	1	0	0	2	0	0	2	1	1	1	1	1	1	1	1	1	1	2	0	1	0	2	0	1	1	1	1	1	0	1	1	1	0	2	2	1	1	2	1	1	2	1	2	2	3	0	3	3	0	21429	110714	114286
15644	1813800	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	2	1	0	2	1	0	2	1	0	2	0	1	1	0	1	2	0	1	2	1	0	8	0	0	0	1	1	0	0	2	0	2	0	0	1	1	0	1	1	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	0	1	1	0	0	2	0	0	2	1	1	1	0	1	1	1	1	1	1	2	0	1	0	2	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	0	2	1	1	1	2	1	3	0	3	3	0	21000	112500	115000
19663	1687800	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	2	1	0	2	1	0	2	1	0	1	0	1	1	0	1	2	0	1	2	1	0	3	1	0	0	1	1	0	0	2	0	2	0	0	1	1	0	1	1	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	0	1	1	0	0	2	0	0	2	1	1	1	1	1	1	1	1	1	1	2	0	0	0	2	1	1	1	1	1	1	1	1	1	1	0	2	2	1	1	2	1	1	2	1	2	2	3	0	4	3	0	22500	105000	115000
23378	1771800	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	2	1	0	2	1	0	2	1	0	2	0	1	1	0	1	2	0	1	2	1	0	3	1	0	0	1	1	0	0	2	0	2	0	0	1	1	0	1	1	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	0	1	1	0	0	2	0	0	2	0	1	1	1	1	1	1	1	1	2	2	0	1	0	2	1	1	1	1	1	1	0	1	1	2	0	2	3	1	1	2	1	1	0	1	2	1	3	0	4	3	0	20000	110000	115000
26915	2507800	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	2	0	1	1	0	1	2	1	0	2	1	0	1	1	0	0	0	1	1	0	1	1	0	1	2	1	0	8	1	0	0	1	1	0	0	2	0	2	0	2	1	1	0	1	1	1	2	0	0	2	0	0	2	0	0	0	2	0	2	0	1	1	1	0	0	2	0	0	2	0	1	1	0	1	1	0	1	1	1	2	0	0	0	2	2	1	1	0	1	1	0	1	1	0	0	2	0	1	1	0	1	1	2	1	2	2	3	0	6	3	0	15000	120000	135000
31704	1591800	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	2	0	1	1	1	0	1	0	1	2	0	1	1	1	0	1	1	0	1	1	0	1	0	1	2	0	1	1	0	1	1	1	0	2	1	0	0	1	1	0	0	2	0	2	0	0	1	1	0	1	1	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	1	1	1	1	0	2	1	0	2	1	1	1	1	1	1	1	1	1	1	2	0	2	0	2	1	1	1	1	1	1	1	1	1	2	0	2	2	1	1	2	1	1	2	1	2	1	3	0	2	3	0	40000	105000	95000
38808	1859800	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	2	0	1	1	1	0	1	0	1	1	0	1	2	1	0	2	1	0	2	1	0	2	0	1	2	0	1	1	0	1	2	1	0	8	0	0	0	1	1	0	0	2	0	2	0	0	1	1	0	1	1	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	0	1	1	0	0	2	0	0	2	1	1	1	0	1	1	1	1	1	1	2	0	0	0	2	0	1	1	1	1	1	0	1	1	2	0	2	2	1	1	2	1	1	0	1	2	0	4	0	3	3	0	21000	110000	115000
46506	1677300	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	2	0	1	2	0	1	1	1	0	2	0	1	2	0	1	1	1	0	1	1	0	1	1	0	2	0	1	2	0	1	2	0	1	1	1	0	2	1	0	0	1	1	0	0	2	0	2	0	0	1	1	0	1	1	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	0	1	1	1	0	2	1	0	2	1	1	1	1	1	1	1	1	1	0	2	0	1	0	2	1	1	1	1	1	1	1	1	1	2	0	2	2	1	1	2	1	1	2	1	2	0	3	0	2	3	0	24750	118500	102625
54318	1715134	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	2	0	1	2	1	0	2	1	0	2	1	0	1	0	1	2	0	1	2	0	1	2	1	0	3	1	0	0	1	1	0	0	2	0	2	0	0	1	1	0	1	1	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	0	1	1	0	0	2	0	0	2	1	1	1	1	1	1	1	1	1	1	2	0	1	0	2	0	1	1	1	1	1	1	1	1	2	0	2	2	1	1	2	1	1	1	1	2	1	3	0	3	3	0	21667	112500	114166
59331	1738800	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	2	0	1	1	0	1	1	1	0	1	0	1	2	0	1	2	1	0	1	1	0	1	1	0	2	0	1	2	0	1	2	0	1	1	1	0	2	1	0	0	1	1	0	0	2	0	2	0	0	1	1	0	1	1	0	2	0	0	2	0	0	2	0	0	0	2	0	2	0	0	1	1	1	0	2	0	0	2	1	1	1	1	1	1	1	1	1	1	2	0	1	0	2	0	1	1	1	1	1	1	1	1	2	0	2	2	1	1	2	1	1	2	1	2	1	3	0	3	3	0	22500	115000	110000
