
0	  35178	3 0 0 4 0 2 5 1 2 5 1 2 5 2 2 6 3 2 6 3 2 6 4 2 6 4 6     269824     115088      20702 
1062	  15004	0 5 5 1 6 5 2 5 5 3 5 5 3 6 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     141667      13889 
1161	   8750	2 5 5 1 5 2 0 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
0	  15004	0 5 5 1 5 5 2 5 5 3 6 5 3 6 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      13889 
1548	  14234	0 6 2 1 6 6 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     138461      19231 
1647	  10628	0 5 5 1 6 2 2 5 5 3 5 5 3 6 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      15625 
0	  48334	0 3 3 1 3 3 2 5 3 4 5 3 5 6 4 5 6 4 6 6 4 6 6 5 6 6 5     250000      70000      83334 
1548	   8750	0 5 5 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
1845	   5001	1 5 1 0 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	   5001	0 3 1 1 3 2 2 3 3 4 5 3 4 5 3 5 6 3 5 6 3 6 6 3 6 6 3     250000     150000       7143 
0	  14698	0 4 2 1 4 4 2 4 4 3 6 4 3 6 4 5 6 4 5 6 5 5 6 5 6 6 5     251510     141415      15151 
0	  31625	0 1 4 2 1 4 3 4 4 3 4 4 5 4 4 6 5 5 6 5 6 6 5 6 6 5 6     258441     129870      22078 
387	  26113	0 1 4 2 1 5 3 4 4 3 4 4 5 4 4 6 5 5 6 5 6 6 5 6 6 5 6     250000     122221      33334 
1071	  21250	0 5 0 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
1170	  20628	6 6 5 0 6 1 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 1 6 5 5 6 5     250000     141667      15625 
1269	  15004	0 6 5 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     141667      13889 
1566	  15001	0 5 3 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
1764	  14234	0 6 2 1 6 6 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     138461      19231 
1863	   8750	0 5 2 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
1962	   6306	0 5 2 1 5 6 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     147826       8696 
0	  16819	1 0 3 2 0 3 3 3 3 5 4 3 5 4 3 6 4 3 6 4 5 6 5 6 6 5 6     265909     125000      18182 
1161	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
1755	   5001	0 5 2 1 5 1 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  20417	0 1 1 2 5 1 3 5 1 3 5 1 4 5 1 4 6 1 5 6 2 6 6 6 6 6 6     250000     137502      19583 
972	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
1566	  13335	0 5 2 1 5 5 2 5 5 3 5 1 3 5 5 4 6 5 4 6 4 6 6 5 6 6 5     250000     150000       8333 
1863	   6306	1 5 2 0 5 6 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     147826       8696 
0	  28335	0 1 3 3 1 3 4 2 3 5 2 3 5 3 3 5 4 5 6 4 6 6 6 6 6 6 6     258959     127500      22708 
1260	  23698	0 5 5 1 5 0 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 6 6 6 5     250000     147827       8695 
1458	  15004	0 5 6 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     111112      44444 
2151	  14234	0 6 2 1 6 6 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     138461      19231 
2547	  13698	0 5 1 1 5 6 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     147827       8695 
0	  35181	2 0 3 4 0 3 5 0 3 5 1 3 5 1 3 6 1 3 6 3 3 6 4 4 6 4 6     260179      85000      59286 
1449	  15004	0 6 5 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      13889 
1647	  10628	0 6 5 1 6 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      15625 
0	  15004	0 5 6 1 5 6 2 5 6 3 5 6 3 5 6 4 6 6 4 6 6 5 6 6 6 6 6     250000     110000      45556 
0	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 6 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     120000      35556 
1647	  14234	0 6 2 1 5 6 2 5 5 3 5 5 3 6 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     138461      19231 
2043	  10628	0 5 2 1 6 5 2 5 5 3 5 5 3 6 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     141667      15625 
0	  11432	0 1 1 2 5 1 3 5 5 3 6 5 4 6 5 4 6 5 6 6 5 6 6 5 6 6 5     250000      58333      97619 
873	   5001	0 5 1 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	   8750	0 5 2 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
1449	   5001	0 5 2 1 5 1 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  12062	1 0 5 2 0 5 3 3 5 4 3 5 5 4 5 6 4 5 6 5 6 6 5 6 6 5 6     252941     123529      29412 
1935	  11250	0 5 1 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
2034	   5001	0 5 2 1 5 1 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  29287	1 0 5 2 0 5 4 3 6 5 3 6 5 3 6 5 3 6 6 4 6 6 4 6 6 6 6     250000     125000      32143 
1161	  10628	0 6 2 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     141667      15625 
2052	   5001	0 5 2 1 5 1 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  48750	0 3 3 1 3 3 2 4 3 4 5 3 5 5 3 5 6 4 6 6 4 6 6 5 6 6 5     255000      83750      66500 
873	  38531	0 5 0 1 5 5 2 5 3 3 5 3 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     244124     152938       5885 
972	  24709	0 5 0 1 5 1 2 5 3 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     247646     151177       7352 
1368	  24094	0 5 5 1 5 4 2 5 5 3 5 3 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     246970     151515       6061 
1467	   5001	0 5 2 1 5 1 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  29287	1 0 0 2 0 3 4 3 3 4 6 3 5 6 3 5 6 3 5 6 3 6 6 3 6 6 5     250000     100000      57143 
1260	  15004	0 5 5 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150001       5555 
1557	   8750	0 5 5 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
2250	   5001	0 5 1 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
0	  39000	0 1 3 0 2 3 3 3 3 5 4 3 6 4 5 6 5 5 6 5 5 6 6 5 6 6 5     120000     250000      36000 
972	  15004	0 6 5 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     141667      13889 
1269	  15001	0 5 2 1 5 3 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       7143 
1467	  14234	0 6 6 1 6 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 5 6 5 6 6 5     250000     138461      19231 
1566	   8750	0 5 2 1 5 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     150000       6250 
1962	   6306	0 5 6 1 5 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 6 6 5     250000     147826       8696 
0	  30625	0 1 3 2 1 3 4 3 3 4 3 3 5 3 5 5 5 5 6 5 6 6 6 6 6 6 6     250000     127500      29375 
1548	  15004	0 6 6 1 6 5 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     138889      16667 
2241	  14234	0 6 6 1 6 2 2 5 5 3 5 5 3 5 5 4 6 5 4 6 5 6 6 5 5 6 5     250000     138461      19231 
